GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pedido-service,br.com.fiap.techchallenge.pedido.infra.persistence.entity,PedidoJpaEntity,49,48,0,0,19,21,3,14,3,14
pedido-service,br.com.fiap.techchallenge.pedido.infra.persistence.entity,ProdutoJpaEntity,14,17,0,0,6,7,4,5,4,5
pedido-service,br.com.fiap.techchallenge.pedido.domain.event,PagamentoAprovadoEvent,16,0,0,0,7,0,4,0,4,0
pedido-service,br.com.fiap.techchallenge.pedido.domain.event,PedidoCriadoEvent,36,0,0,0,15,0,8,0,8,0
pedido-service,br.com.fiap.techchallenge.pedido.infra.persistence.repository,PedidoRepositoryImpl,43,61,1,1,16,20,5,2,4,2
pedido-service,br.com.fiap.techchallenge.pedido.infra.security,JwtConfig,0,17,0,0,0,7,0,2,0,2
pedido-service,br.com.fiap.techchallenge.pedido.infra.security,SecurityConfig,0,44,0,0,0,9,0,6,0,6
pedido-service,br.com.fiap.techchallenge.pedido.domain.model,Pedido,22,66,0,0,9,24,2,9,2,9
pedido-service,br.com.fiap.techchallenge.pedido.presentation.controller,PedidoController,33,20,0,0,7,7,4,2,4,2
pedido-service,br.com.fiap.techchallenge.pedido.application.service,ConfirmarPedidoService,31,9,0,0,8,4,2,1,2,1
pedido-service,br.com.fiap.techchallenge.pedido.application.service,AtualizarStatusPedidoService,10,6,0,0,3,3,1,1,1,1
pedido-service,br.com.fiap.techchallenge.pedido.application.service,CriarPedidoService,22,77,1,3,3,22,4,3,3,2
pedido-service,br.com.fiap.techchallenge.pedido,PedidoApplication,5,3,0,0,2,1,1,1,1,1
pedido-service,br.com.fiap.techchallenge.pedido.infra.config,OpenApiConfig,0,17,0,0,0,6,0,2,0,2
pedido-service,br.com.fiap.techchallenge.pedido.infra.config,SwaggerConfig,0,32,0,0,0,11,0,2,0,2
pedido-service,br.com.fiap.techchallenge.pedido.infra.persistence.mapper,PedidoMapper,41,0,2,0,18,0,4,0,3,0
pedido-service,br.com.fiap.techchallenge.pedido.infra.kafka,PagamentoAprovadoConsumer,11,6,0,0,3,3,1,1,1,1
pedido-service,br.com.fiap.techchallenge.pedido.infra.kafka,KafkaProducerConfig,0,33,0,0,0,7,0,3,0,3
pedido-service,br.com.fiap.techchallenge.pedido.infra.kafka,PedidoEventProducer,7,6,0,0,2,3,1,1,1,1
pedido-service,br.com.fiap.techchallenge.pedido.infra.kafka,KafkaConfig,0,67,0,0,0,14,0,3,0,3
pedido-service,br.com.fiap.techchallenge.pedido.application.dto,CriarPedidoRequest,0,15,0,0,0,6,0,3,0,3
pedido-service,br.com.fiap.techchallenge.pedido.application.dto,ItemPedidoRequest,6,21,0,0,2,8,2,3,2,3
